docks,bickes,ID,total,bikes/total,latitude,longitude,streets
-6.734375,39.734375,79.0,33.0,1.2040719697,40.71911552,-74.00666661,Franklin St & W Broadway
-12.734375,39.734375,82.0,27.0,1.47164351852,40.71117416,-74.00016545,St James Pl & Pearl St
-0.734375,39.734375,146.0,39.0,1.01883012821,40.71625008,-74.0091059,Hudson St & Reade St
-6.734375,39.734375,147.0,33.0,1.2040719697,40.71542197,-74.01121978,Greenwich St & Warren St
-6.734375,39.734375,151.0,33.0,1.2040719697,40.7218158,-73.99720307,Cleveland Pl & Spring St
-10.734375,39.734375,152.0,29.0,1.37015086207,40.71473993,-74.00910627,Warren St & Church St
5.265625,39.734375,195.0,45.0,0.882986111111,40.70905623,-74.01043382,Liberty St & Broadway
-16.734375,39.734375,216.0,23.0,1.72758152174,40.70037867,-73.99548059,Columbia Heights & Cranberry St
-0.734375,39.734375,217.0,39.0,1.01883012821,40.70277159,-73.99383605,Old Fulton St
-8.734375,39.734375,224.0,31.0,1.28175403226,40.71146364,-74.00552427,Spruce St & Nassau St
-16.734375,39.734375,248.0,23.0,1.72758152174,40.72185379,-74.00771779,Laight St & Hudson St
-12.734375,39.734375,249.0,27.0,1.47164351852,40.71870987,-74.0090009,Harrison St & Hudson St
-0.734375,39.734375,257.0,39.0,1.01883012821,40.71939226,-74.00247214,Lispenard St & Broadway
-8.734375,39.734375,259.0,31.0,1.28175403226,40.70122128,-74.01234218,South St & Whitehall St
-4.734375,39.734375,260.0,35.0,1.13526785714,40.70365182,-74.01167797,Broad St & Bridge St
-8.734375,39.734375,263.0,31.0,1.28175403226,40.71729,-73.996375,Elizabeth St & Hester St
-12.734375,39.734375,264.0,27.0,1.47164351852,40.70706456,-74.00731853,Maiden Ln & Pearl St
-12.734375,39.734375,268.0,27.0,1.47164351852,40.71910537,-73.99973337,Howard St & Centre St
-14.734375,39.734375,276.0,25.0,1.589375,40.71748752,-74.0104554,Duane St & Greenwich St
-3.734375,39.734375,279.0,36.0,1.10373263889,40.707873,-74.00167,Peck Slip & Front St
-19.734375,39.734375,291.0,20.0,1.98671875,40.713126,-73.984844,Madison St & Montgomery St
-15.734375,39.734375,295.0,24.0,1.65559895833,40.71406667,-73.99293911,Pike St & E Broadway
-4.734375,39.734375,296.0,35.0,1.13526785714,40.71413089,-73.9970468,Division St & Bowery
-3.734375,39.734375,304.0,36.0,1.10373263889,40.70463334,-74.01361706,Broadway & Battery Pl
-2.734375,39.734375,306.0,37.0,1.07390202703,40.70823502,-74.00530063,Cliff St & Fulton St
-8.734375,39.734375,307.0,31.0,1.28175403226,40.71427487,-73.98990025,Canal St & Rutgers St
-12.734375,39.734375,308.0,27.0,1.47164351852,40.71307916,-73.99851193,St James Pl & Oliver St
1.265625,39.734375,309.0,41.0,0.969131097561,40.7149787,-74.013012,Murray St & West St
-8.734375,39.734375,311.0,31.0,1.28175403226,40.7172274,-73.98802084,Norfolk St & Broome St
-10.734375,39.734375,315.0,29.0,1.37015086207,40.70355377,-74.00670227,South St & Gouverneur Ln
3.265625,39.734375,316.0,43.0,0.924055232558,40.70955958,-74.00653609,Fulton St & William St
-0.734375,39.734375,320.0,39.0,1.01883012821,40.717571,-74.005549,Leonard St & Church St
-0.734375,39.734375,327.0,39.0,1.01883012821,40.7153379,-74.01658354,Vesey Pl & River Terrace
-16.734375,39.734375,328.0,23.0,1.72758152174,40.72405549,-74.00965965,Watts St & Greenwich St
-8.734375,39.734375,329.0,31.0,1.28175403226,40.72043411,-74.01020609,Greenwich St & N Moore St
